912,227,Mankell Henning,Prima del gelo,Thriller,Thriller
913,228,Martignoni Elena,Requiem per il giovane Borgia,Thriller,Thriller storico
914,229,Mason Daniel,L'accordatore di piano,Thriller,Thriller
915,230,Masot Nuria,Il labirinto del serpente,Thriller,Thriller
916,231,Matthews John,Il giorno dell'ascensione,Thriller,Thriller
917,232,Meyer Deon,Il sapore del sangue,Thriller,Thriller
918,233,Montaldi Valeria,Il monaco inglese,Thriller,Thriller storico
919,234,Mosse Kate,L'ottavo arcano,Thriller,Thriller
920,235,Navarro Julia,Il sangue degli innocenti,Thriller,Thriller
921,236,Navarro Julia,La Bibbia d'argilla,Thriller,Thriller
922,237,O'connell Carol,Susan a faccia in giù nella neve,Thriller,Thriller
923,238,O'connell Carol,Louise sparì di notte,Thriller,Thriller
924,239,O'connell Carol,Amanda è morta nel parco,Thriller,Thriller
925,240,Pargeter Edith,Cavalieri al tramonto,Narrativa straniera,Narrativa
926,241,Parsons Julie,L'entomologa,Thriller,Thriller
927,242,Patterson James,Il collezionista,Thriller,Thriller
928,243,Patterson James,Jack e Jill,Thriller,Thriller
929,244,Patterson James,Seconda chance,Thriller,Thriller
930,245,Patterson James,Il club di mezzanotte,Thriller,Thriller
931,246,Patterson James,Le donne del club omicidi,Thriller,Thriller
932,247,Patterson James,Mercato nero,Thriller,Thriller
933,248,Patterson James,Qualcuno morirà,Thriller,Thriller
934,249,Patterson James,Quando soffia il vento,Thriller,Thriller
935,250,Patterson James,Il giullare,Narrativa straniera,Narrativa
936,251,Patterson James,Mastermind,Thriller,Thriller
937,252,Patterson James,Bikini,Thriller,Thriller
938,253,Patterson James,Il settimo inferno,Thriller,Thriller
939,254,Patterson James,La casa degli inganni,Thriller,Thriller
940,255,Patterson James,Il caso Bluelady,Thriller,Thriller
941,256,Patterson James,Honeymoon,Thriller,Thriller
942,257,Patterson James,Ricorda Maggie Rose,Thriller,Thriller
943,258,Patterson James,Il gioco della donnola,Thriller,Thriller
944,259,Patterson James,Il sesto colpo,Thriller,Thriller
945,260,Patterson Richard North,Grado di colpevolezza,Thriller,Thriller
946,261,Patterson Richard North,Giudizio finale,Thriller,Thriller
947,262,Patterson Richard North,Nessun luogo è ricuro,Thriller,Thriller
948,263,Patterson Richard North,Tutta la verità,Thriller,Thriller
949,264,Patterson Richard North,Chiamato a difendere,Thriller,Thriller
950,265,Pearl Matthew,Il circolo Dante,Thriller,Thriller
951,266,Pearl Matthew,L'ombra di Edgar,Thriller,Thriller
952,267,Pears Iain,Il quadro che uccide,Thriller,Thriller storico
953,268,Pears Iain,La pista di Caravaggio,Thriller,Thriller storico
954,269,Pears Iain,La quarta verità,Thriller,Thriller storico
955,270,Perissinotto Alessandro,L'ultima notte bianca,Thriller,Thriller
956,271,Peters Elizabeth,La maledizione di Nefertiti,Thriller,Thriller storico
957,272,Peters Elizabeth,Il faraone assassino,Thriller,Thriller storico
958,273,Peters Elizabeth,Il caso del sarcofago scomparso,Thriller,Thriller storico
959,274,Peters Elizabeth,Il segreto della tomba d'oro,Thriller,Thriller storico
960,275,Peters Elizabeth,La sfida della mummia,Thriller,Thriller storico
961,276,Pirie David,Gli occhi della paziente,Thriller,Thriller storico
962,277,Pirie David,Il richiamo della notte,Thriller,Thriller
963,278,Pittorru Fabio,La pista delle volpi,Thriller,Thriller
964,279,Podrug Junius,Presunta colpevole,Thriller,Thriller
965,280,Porter Henry,Rebus,Thriller,Thriller
966,281,Preston Douglas,La ruota del buio,Thriller,Thriller
967,282,Quilici Folco,Mare rosso,Thriller,Thriller
968,283,Rankin Ian,Dietro la nebbia,Thriller,Thriller
969,284,Rankin Ian,Partitura finale,Thriller,Thriller
970,285,Rankin Ian,Morte grezza,Thriller,Thriller
971,286,Rankin Ian,Anime morte,Thriller,Thriller
972,287,Reichs Kathy,Morte di lunedì,Thriller,Medical thriller
973,288,Reichs Kathy,Ossario,Thriller,Medical thriller
974,289,Reichs Kathy,Ceneri,Thriller,Medical thriller
975,290,Reichs Kathy,Viaggio fatale,Thriller,Medical thriller
976,291,Reichs Kathy,Carne e ossa,Thriller,Medical thriller
977,292,Reichs Kathy,Skeleton,Thriller,Medical thriller
978,293,Reichs Kathy,Cadaveri innocenti,Thriller,Medical thriller
979,294,Reichs Kathy,Le ossa del ragno,Thriller,Medical thriller
980,295,Rendell Ruth,Omicidio a Thatto Castle,Thriller,Thriller
981,296,Rice Anne,La mummia,Thriller,Thriller
982,297,Rice Anne,Armand il vampiro,Thriller,Thriller
983,298,Reichs Kathy,Corpi freddi,Thriller,Medical thriller
984,299,Robb Candace,La morte nera,Thriller,Thriller storico
985,300,Robb Candace,Il cavaliere assassinato,Thriller,Thriller storico
986,301,Robb Candace,La reliquia rubata,Thriller,Thriller storico
987,302,Robb Candace,Il borgo insanguinato,Thriller,Thriller storico
988,303,Robb Candace,La donna del fiume,Thriller,Thriller storico
989,304,Robb Candace,Il segreto della cappella,Thriller,Thriller storico
990,305,Robb Candace,La taverna delle ombre,Thriller,Thriller storico
991,306,Robb Candace,La rosa del farmacista,Thriller,Thriller storico
992,307,Robinson Lynda,Il bevitore di sangue,Thriller,Thriller
993,308,Rule Ann,Un estraneo al mio fianco,Thriller,Thriller
994,309,Rule Ann,Piccoli sacrifici,Thriller,Thriller
995,310,Rubenfeld Jed,L'interpretazione della morte,Thriller,Thriller
996,311,Schwarz Christina,Il segreto di Amanda,Thriller,Thriller
997,312,Sebold Alice,Amabili resti,Thriller,Thriller
998,313,Sierra Javier,La cena segreta,Thriller,Thriller
999,314,Siegel Barry,Ultimo appello,Thriller,Thriller
1000,315,Smith Tom Rob,Bambino 44,Thriller,Thriller
1001,316,Smolens John,Freddo,Thriller,Thriller
1002,317,Suzuki Koji,Ring,Thriller,Horror
1003,318,Talbot Roger R.,Il cenacolo delle sorelle,Thriller,Thriller
1004,319,Temporin Maurizio,Il tango delle cattedrali,Thriller,Thriller
1005,320,Santlofer Jonathan,L'artista di morte,Thriller,Thriller
1006,321,Turow Scott,Lesioni personali,Thriller,Thriller
1007,322,Turow Scott,Punizione suprema,Thriller,Saggio
1008,323,Turow Scott,Errori reversibili,Thriller,Thriller
1009,324,Turow Scott,Prova d'appello,Thriller,Thriller
1010,325,Young Robyn,Anima templi,Thriller,Thriller storico
1011,326,A.A.V.V.,Omicidio e ossessione,Thriller,Thriller
1012,327,A.A.V.V.,Crimini,Thriller,Thriller
1013,328,A.A.V.V.,Brividi d'autore,Thriller,Thriller
1014,329,Adler Warren,La guerra dei Roses,Rosa,Rosa
1015,330,A.A.V.V.,Brodo caldo per l'anima 3,Rosa,Rosa
